Student,Region,Campus,Program,Starting/Readmitted Cohort,Graduating Cohort,Testing Cohort,Attempt Number,Result
5198,Lehigh Valley Region,ALL,ADN.2YR.AS,2021WIQ,2023WIQ,2024SPQ,1,1
5199,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
5200,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2023WIQ,2024SPQ,1,1
5201,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
5202,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,0
5202,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SUQ,2,0
5202,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2025FAQ,3,0
5203,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
5204,Hudson Valley Region,SCH,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
5205,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SPQ,2025SUQ,2025FAQ,1,0
5205,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SPQ,2025SUQ,2025WIQ,2,1
5206,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,0
5206,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,2,1
5207,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
5208,Hudson Valley Region,SCH,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
5209,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023WIQ,2025SUQ,2025FAQ,1,1
5210,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
5211,Greater Boston Region,WOR,ADN.BRDG.AAS,2024WIQ,2025FAQ,2025WIQ,1,1
5212,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,0
5212,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SUQ,2,1
5213,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023FAQ,2024WIQ,2024WIQ,1,1
5214,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024FAQ,1,1
5215,Lehigh Valley Region,SCR,ADN.2YR.AS,2022FAQ,2024SPQ,2024SUQ,1,1
5216,Greater Boston Region,WOR,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
5217,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025FAQ,1,0
5217,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025WIQ,2,1
5218,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
5219,Northern New England Region,MAN,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5220,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
5221,Northern New England Region,POR,ADN.BRDG.AS,2023FAQ,2024WIQ,2025SPQ,1,1
5222,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2024SPQ,2024SUQ,1,1
5223,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2024SPQ,2025SUQ,2025FAQ,1,1
5224,Lehigh Valley Region,ALL,BSN.PRE.BSN,2020WIQ,2023WIQ,2024SPQ,1,0
5224,Lehigh Valley Region,ALL,BSN.PRE.BSN,2020WIQ,2023WIQ,2024SUQ,2,1
5225,Greater Boston Region,WOR,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
5226,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023WIQ,2025SPQ,2025SUQ,1,1
5227,Greater Boston Region,SPR,ADN.BRDG.AAS,2024FAQ,2025FAQ,2025WIQ,1,0
5228,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2024SUQ,2025SUQ,2025FAQ,1,1
5229,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
5230,Lehigh Valley Region,ALL,ADN.2YR.AS,2023FAQ,2025SUQ,2025FAQ,1,1
5231,Hudson Valley Region,POU,ADN.2YR.AS,2021FAQ,2023WIQ,2024SPQ,1,1
5232,Hudson Valley Region,SCH,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
5233,Hudson Valley Region,ALB,BSN.PRE.BSN,2021WIQ,2023WIQ,2024SPQ,1,0
5233,Hudson Valley Region,ALB,BSN.PRE.BSN,2021WIQ,2023WIQ,2024SPQ,2,0
5234,Connecticut Valley Region,BRI,ADN.BRDG.AS,2024SPQ,2025SPQ,2025SUQ,1,0
5234,Connecticut Valley Region,BRI,ADN.BRDG.AS,2024SPQ,2025SPQ,2025SUQ,2,1
5235,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
5236,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2024FAQ,2024FAQ,1,1
5237,Lehigh Valley Region,ALL,BSN.PRE.BSN,2024SUQ,2025FAQ,2025FAQ,1,1
5238,Greater Boston Region,BOS,BSN.PRE.BSN,2021SUQ,2023WIQ,2024SPQ,1,0
5238,Greater Boston Region,BOS,BSN.PRE.BSN,2021SUQ,2023WIQ,2024SUQ,2,1
5239,Connecticut Valley Region,NHV,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
5240,Hudson Valley Region,ALB,ADN.BRDG.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5241,Greater Boston Region,WOR,BSN.PRE.BSN,2023SUQ,2025FAQ,2025WIQ,1,1
5242,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
5243,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
5244,Lehigh Valley Region,BTH,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5245,Hudson Valley Region,KIN,BSN.PRE.BSN,2023SPQ,2024FAQ,2024WIQ,1,1
5246,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2024SPQ,2024SUQ,1,1
5247,Hudson Valley Region,KIN,BSN.PRE.BSN,2021WIQ,2024SUQ,2024FAQ,1,1
5248,Lehigh Valley Region,BTH,ADN.BRDG.AS,2024WIQ,2025FAQ,2025WIQ,1,1
5249,Northern New England Region,POR,ADN.BRDG.AS,2024SUQ,2025SUQ,2025FAQ,1,1
5250,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2024SUQ,2024FAQ,1,1
5251,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2024WIQ,2025SPQ,1,1
5252,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
5253,Lehigh Valley Region,ALL,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
5254,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SPQ,2024SUQ,2024FAQ,1,1
5255,Connecticut Valley Region,NHV,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,0
5255,Connecticut Valley Region,NHV,ADN.2YR.AS,2022WIQ,2024WIQ,2025SUQ,2,1
5256,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2024SUQ,2024SUQ,1,1
5257,Connecticut Valley Region,BRI,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
5258,Hudson Valley Region,ALB,BSN.PRE.BSN,2023SPQ,2024SUQ,2024FAQ,1,0
5259,Lehigh Valley Region,SCR,ADN.2YR.AS,2024SPQ,2025WIQ,2025WIQ,1,1
5260,Greater Boston Region,BOS,BSN.PRE.BSN,2022SPQ,2024SUQ,2024FAQ,1,1
5261,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
5262,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SUQ,2024FAQ,1,1
5263,Lehigh Valley Region,REA,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
5264,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SPQ,1,1
5265,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022SUQ,2024SUQ,2024FAQ,1,1
5266,Lehigh Valley Region,ALL,ADN.BRDG.AS,2024SPQ,2024FAQ,2024WIQ,1,1
5267,Northern New England Region,POR,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
5268,Hudson Valley Region,SCH,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
5269,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023WIQ,2024WIQ,2025SPQ,1,1
5270,Greater Boston Region,WOR,BSN.PRE.BSN,2022WIQ,2025SUQ,2025FAQ,1,1
5271,Hudson Valley Region,SCH,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
5272,Hudson Valley Region,ALB,ADN.BRDG.AS,2022WIQ,2024WIQ,2025SPQ,1,1
5273,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024FAQ,2024WIQ,1,1
5274,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
5275,Hudson Valley Region,SCH,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
5276,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2024SUQ,2024FAQ,1,1
5277,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021WIQ,2024WIQ,2025SPQ,1,1
5278,Connecticut Valley Region,BRI,ADN.2YR.AS,2023SPQ,2025SUQ,2025FAQ,1,0
5278,Connecticut Valley Region,BRI,ADN.2YR.AS,2023SPQ,2025SUQ,2025WIQ,2,1
5279,Greater Boston Region,BOS,ADN.BRDG.AAS,2020SUQ,2021SUQ,2025SUQ,3,1
5280,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023SPQ,2025SPQ,2025SPQ,1,1
5281,Hudson Valley Region,KIN,ADN.ADV.AAS,2024SPQ,2024SPQ,2024SUQ,1,0
5281,Hudson Valley Region,KIN,ADN.ADV.AAS,2024SPQ,2024SPQ,2024SUQ,2,1
5282,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SUQ,2024WIQ,2025SPQ,1,1
5283,Greater Boston Region,WOR,BSN.PRE.BSN,2022SPQ,2024WIQ,2025SPQ,1,1
5284,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
5285,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
5286,Greater Boston Region,LOW,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
5287,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2024SUQ,2024FAQ,1,0
5288,Greater Boston Region,BOS,ADN.BRDG.AAS,2024FAQ,2025SUQ,2025FAQ,1,1
5289,Hudson Valley Region,SCH,ADN.BRDG.AS,2023SPQ,2024WIQ,2025SPQ,1,1
5290,Hudson Valley Region,KIN,BSN.PRE.BSN,2021FAQ,2024FAQ,2024WIQ,1,1
5291,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023FAQ,2024WIQ,2025SPQ,1,1
5292,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023WIQ,2025SUQ,2025FAQ,1,1
5293,Lehigh Valley Region,REA,ADN.BRDG.AS,2022WIQ,2023WIQ,2024SPQ,1,1
5294,Hudson Valley Region,POU,ADN.2YR.AS,2021FAQ,2023WIQ,2024SPQ,1,1
5295,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2025SUQ,2025FAQ,1,1
5296,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2024SUQ,2025SPQ,2025SUQ,1,1
5297,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
5298,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,0
5299,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
5300,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024FAQ,2024FAQ,1,1
5301,Lehigh Valley Region,REA,ADN.BRDG.AS,2023FAQ,2025SUQ,2025FAQ,1,1
5302,Hudson Valley Region,SCH,ADN.BRDG.AS,2023WIQ,2024WIQ,2025SPQ,1,1
5303,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
5304,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
5305,Connecticut Valley Region,NHV,ADN.2YR.AS,2023SPQ,2025SUQ,2025FAQ,1,0
5305,Connecticut Valley Region,NHV,ADN.2YR.AS,2023SPQ,2025SUQ,2025WIQ,2,0
5306,Connecticut Valley Region,BRI,ADN.2YR.AS,2024WIQ,2025SUQ,2025FAQ,1,1
5307,Lehigh Valley Region,SCR,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,1
5308,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2023WIQ,2024SPQ,1,1
5309,Greater Boston Region,BOS,BSN.PRE.BSN,2024SUQ,2025SUQ,2025FAQ,1,0
5310,Hudson Valley Region,KIN,ADN.2YR.AAS,2021WIQ,2023WIQ,2024SPQ,1,0
5311,Hudson Valley Region,POU,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
5312,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2025FAQ,2025WIQ,1,1
5313,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2025SPQ,2025SPQ,1,1
5314,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2024WIQ,1,1
5315,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2024SUQ,2024WIQ,1,1
5316,Hudson Valley Region,POU,ADN.2YR.AS,2021WIQ,2024SPQ,2024SUQ,1,1
5317,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SUQ,2025FAQ,2025WIQ,1,0
5318,Hudson Valley Region,ALB,ADN.2YR.AS,2022FAQ,2024FAQ,2024WIQ,1,1
5319,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021WIQ,2024SUQ,2024FAQ,1,1
5320,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2025SPQ,2025SUQ,1,0
5320,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2025SPQ,2025FAQ,2,0
5320,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2025SPQ,2025WIQ,3,1
5321,Hudson Valley Region,ALB,ADN.BRDG.AS,2021WIQ,2024SUQ,2024FAQ,1,1
5322,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022SPQ,2024FAQ,2025SPQ,1,1
5323,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024FAQ,2024WIQ,1,1
5324,Lehigh Valley Region,ALL,ADN.BRDG.AS,2025SUQ,2025FAQ,2025WIQ,1,1
5325,Hudson Valley Region,KIN,ADN.2YR.AAS,2022WIQ,2025SPQ,2025SUQ,1,1
5326,Lehigh Valley Region,ALL,ADN.2YR.AS,2025SPQ,2025FAQ,2025WIQ,1,1
5327,Greater Boston Region,BOS,ADN.BRDG.AAS,2025SPQ,2025SUQ,2025FAQ,1,1
5328,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2024SUQ,2025FAQ,2025FAQ,1,1
5329,Hudson Valley Region,ALB,BSN.PRE.BSN,2021SPQ,2023WIQ,2024SPQ,1,1
5330,Hudson Valley Region,ALB,ADN.2YR.AS,2023SPQ,2024FAQ,2024WIQ,1,1
5331,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,1
5332,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SUQ,2025FAQ,1,1
5333,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024SUQ,2024FAQ,1,1
5334,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025WIQ,2025WIQ,1,1
5335,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024WIQ,2025SPQ,1,0
5335,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024WIQ,2025SUQ,2,1
5336,Hudson Valley Region,ALB,ADN.BRDG.AS,2023SPQ,2024SPQ,2024SUQ,1,1
5337,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022SUQ,2025SPQ,2025SUQ,1,1
5338,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2024WIQ,2025SPQ,1,0
5338,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2024WIQ,2025SPQ,2,0
5338,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2024WIQ,2025SUQ,3,0
5338,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2024WIQ,2025FAQ,4,0
5338,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2024WIQ,2025FAQ,5,0
5338,Hudson Valley Region,KIN,BSN.PRE.BSN,2024SUQ,2024WIQ,2025WIQ,6,1
5339,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SUQ,2025SPQ,2025SUQ,1,1
5340,Hudson Valley Region,ALB,BSN.PRE.BSN,2021WIQ,2024WIQ,2025SPQ,1,1
5341,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SPQ,2024WIQ,2024WIQ,1,1
5342,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
5343,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025WIQ,2025WIQ,1,1
5344,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SUQ,2024SUQ,2024FAQ,1,1
5345,Hudson Valley Region,POU,ADN.2YR.AS,2023SUQ,2025FAQ,2025WIQ,1,1
5346,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
5347,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
5348,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,0
5348,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025SUQ,2025WIQ,2,1
5349,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SPQ,1,1
5350,Hudson Valley Region,KIN,ADN.2YR.AAS,2024SPQ,2024WIQ,2025SPQ,1,1
5351,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023SUQ,2024FAQ,2024WIQ,1,1
5352,Connecticut Valley Region,NHV,ADN.2YR.AS,2025SPQ,2025SPQ,2025SUQ,1,1
5353,Hudson Valley Region,ALB,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
5354,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023SUQ,2025SPQ,2025SPQ,1,1
5355,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
5356,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2025SPQ,2025SPQ,1,1
5357,Hudson Valley Region,SCH,ADN.2YR.AS,2022SUQ,2024SPQ,2024FAQ,1,1
5358,Greater Boston Region,WOR,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
5359,Hudson Valley Region,POU,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
5360,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2024SPQ,2024SUQ,1,1
5361,Greater Boston Region,BOS,BSN.PRE.BSN,2018FAQ,2021SUQ,2025SPQ,3,0
5362,Hudson Valley Region,ALB,ADN.2YR.AS,2023FAQ,2025SPQ,2025SUQ,1,0
5363,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
5364,Lehigh Valley Region,ALL,ADN.BRDG.AS,2024SUQ,2025SUQ,2025FAQ,1,1
5365,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
5366,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
5367,Hudson Valley Region,ALB,ADN.2YR.AS,2024SUQ,2025SUQ,2025FAQ,1,1
5368,Lehigh Valley Region,REA,ADN.2YR.AS,2023SUQ,2024WIQ,2025SPQ,1,1
5369,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025FAQ,1,1
5370,Connecticut Valley Region,BRI,ADN.2YR.AS,2023SUQ,2025FAQ,2025WIQ,1,1
5371,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2024SUQ,2025WIQ,2025WIQ,1,1
5372,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023WIQ,2024SPQ,1,1
5373,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
5374,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2024WIQ,2025SPQ,1,1
5375,Greater Boston Region,LOW,ADN.BRDG.AAS,2024FAQ,2025FAQ,2025WIQ,1,1
5376,Hudson Valley Region,POU,ADN.2YR.AS,2022SUQ,2024FAQ,2024WIQ,1,0
5377,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2025SPQ,2025SUQ,1,1
5378,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5379,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,0
5379,Lehigh Valley Region,SCR,ADN.2YR.AS,2023SPQ,2024WIQ,2025SUQ,2,1
5380,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
5381,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
5382,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,0
5383,Hudson Valley Region,KIN,ADN.2YR.AAS,2023FAQ,2025SUQ,2025FAQ,1,1
5384,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021SPQ,2023WIQ,2024SPQ,1,1
5385,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2023WIQ,2024FAQ,1,1
5386,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
5387,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2024FAQ,2024WIQ,1,1
5388,Lehigh Valley Region,ALL,ADN.2YR.AS,2023FAQ,2024WIQ,2025SUQ,1,1
5389,Hudson Valley Region,ALB,ADN.BRDG.AS,2024FAQ,2025SUQ,2025FAQ,1,1
5390,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
5391,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2025SPQ,2025SPQ,1,1
5392,Hudson Valley Region,SCH,ADN.2YR.AS,2022WIQ,2025SPQ,2025SPQ,1,1
5393,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SPQ,2025SUQ,1,1
5394,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
5395,Greater Boston Region,WOR,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
5396,Greater Boston Region,WOR,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SPQ,1,1
5397,Hudson Valley Region,SCH,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
5398,Greater Boston Region,WOR,BSN.PRE.BSN,2023SUQ,2025FAQ,2025WIQ,1,1
5399,Hudson Valley Region,ALB,ADN.2YR.AS,2022FAQ,2024SPQ,2024SUQ,1,1
5400,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
5401,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,1
5402,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021FAQ,2024SPQ,2024SUQ,1,1
5403,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023FAQ,2025SPQ,2025SUQ,1,1
5404,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5405,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5406,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5407,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
5408,Hudson Valley Region,ALB,BSN.PRE.BSN,2022FAQ,2024WIQ,2025SPQ,1,1
5409,Hudson Valley Region,POU,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
5410,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,1,1
5411,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SPQ,2024WIQ,2025SPQ,1,1
5411,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SPQ,2024WIQ,2025SUQ,2,1
5412,Hudson Valley Region,KIN,ADN.2YR.AAS,2022FAQ,2024FAQ,2024WIQ,1,1
5413,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021SUQ,2024SPQ,2024WIQ,1,1
5414,Greater Boston Region,BOS,ADN.BRDG.AAS,2012SUQ,2013FAQ,2024FAQ,10,1
5415,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022WIQ,2025SUQ,2025FAQ,1,1
5416,Greater Boston Region,BOS,BSN.PRE.BSN,2023SUQ,2025SUQ,2025FAQ,1,1
5417,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
5418,Lehigh Valley Region,ALL,ADN.BRDG.AS,2024SUQ,2024FAQ,2024WIQ,1,1
5419,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,1
5420,Connecticut Valley Region,WTB,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5421,Hudson Valley Region,ALB,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
5422,Lehigh Valley Region,SCR,ADN.BRDG.AS,2022WIQ,2024FAQ,2024WIQ,1,1
5423,Lehigh Valley Region,SCR,ADN.BRDG.AS,2024SUQ,2025FAQ,2025WIQ,1,1
5424,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024SUQ,2024FAQ,1,1
5425,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
5426,Lehigh Valley Region,REA,ADN.2YR.AS,2022WIQ,2025FAQ,2025FAQ,1,1
5427,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
5428,Hudson Valley Region,POU,ADN.2YR.AS,2023FAQ,2025SPQ,2025SUQ,1,1
5429,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023FAQ,2025SPQ,2025SUQ,1,1
5430,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SPQ,2024WIQ,2025SPQ,1,1
